"","Age","Electorate","Sex","count","right_left"
"391","60–64 Years","Rongotai","Female",1407,-0.255223589142746
"392","65–69 Years","Rongotai","Female",1035,-0.255223589142746
"393","70–74 Years","Rongotai","Female",834,-0.255223589142746
"394","75–79 Years","Rongotai","Female",627,-0.255223589142746
"395","80–84 Years","Rongotai","Female",537,-0.255223589142746
"396","85 Years And Over","Rongotai","Female",594,-0.255223589142746
"397","0–4 Years","Dunedin North","Male",1491,-0.230640044784475
"398","5–9 Years","Dunedin North","Male",1422,-0.230640044784475
"399","10–14 Years","Dunedin North","Male",1533,-0.230640044784475
"400","15–19 Years","Dunedin North","Male",3951,-0.230640044784475
"401","20–24 Years","Dunedin North","Male",4917,-0.230640044784475
"402","25–29 Years","Dunedin North","Male",1869,-0.230640044784475
"403","30–34 Years","Dunedin North","Male",1518,-0.230640044784475
"404","35–39 Years","Dunedin North","Male",1485,-0.230640044784475
"405","40–44 Years","Dunedin North","Male",1671,-0.230640044784475
"406","45–49 Years","Dunedin North","Male",1683,-0.230640044784475
"407","50–54 Years","Dunedin North","Male",1857,-0.230640044784475
"408","55–59 Years","Dunedin North","Male",1674,-0.230640044784475
"409","60–64 Years","Dunedin North","Male",1461,-0.230640044784475
"410","65–69 Years","Dunedin North","Male",1167,-0.230640044784475
